"MATR","Mattersight Corp","107114.7","Information Technology","NASDAQ","-3.9749"
"MB","Mindbody Inc","1059152.05","Information Technology","NASDAQ","-49.2418"
"MCHX","Marchex Inc","119686.16","Information Technology","NASDAQ","-1.3455"
"MJCO","Majesco","196724.22","Information Technology","NYSE","-217.9589"
"MLNK","ModusLink Global Solutions Inc","88607.035","Information Technology","NASDAQ","-2.0212"
"MOBL","MobileIron Inc","437859.75","Information Technology","NASDAQ","-6.5514"
"MODN","Model N Inc","319774.9","Information Technology","NYSE","-8.9901"
"MOSY","MoSys Inc","5244.02","Information Technology","NASDAQ","-0.1998"
"MRAM","Everspin Technologies Inc","115125","Information Technology","NASDAQ","-2.8361"
"MRIN","Marin Software Inc","64978.65","Information Technology","NYSE","-3.9527"
"MSDI","Monster Digital Inc","5543.4625","Information Technology","NASDAQ","-0.898"
"MTLS","Materialise NV","518208.75","Information Technology","NASDAQ","-163.1039"
"MTSI","M/A-Com","2934173.16","Information Technology","NASDAQ","-27.6408"
"MTWO","M2 Ngage Group Inc","15642.185","Information Technology","NASDAQ","-0.1842"
"MULE","MuleSoft Inc","2790722.8","Information Technology","NYSE","-58.5262"
"MVIS","MicroVision Inc","146918.1","Information Technology","NASDAQ","-6.9584"
"MX","MagnaChip Semiconductor Corp","337217.7","Information Technology","NYSE","6.8897"
"MXPT","MaxPoint Interactive Inc","42119.55","Information Technology","NYSE","-2.2934"
"MXWL","Maxwell Technologies Inc","196240.32","Information Technology","NASDAQ","-8.2011"
"NAME","Rightside Group Ltd","196596.4","Information Technology","NASDAQ","-5.7608"
"NCTY","The9 Ltd","59002.52","Information Technology","NASDAQ","-0.2526"
"NEON","Neonode Inc","76198.2","Information Technology","NASDAQ","-14.5941"
"NETE","Net Element Inc","14658.378","Information Technology","NASDAQ","-0.7794"
"NEWR","New Relic Inc","2185785.44","Information Technology","NYSE","-31.1112"
"NLST","Netlist Inc","75935.28","Information Technology","NASDAQ","-6.1297"
"NMRX","Numerex Corp","82450","Information Technology","NASDAQ","-3.6068"
"NPTN","NeoPhotonics Corp","319605.79","Information Technology","NYSE","-1583.6735"
"NQ","NQ Mobile Inc","357647.88","Information Technology","NYSE","-2.7339"
"NSR","Neustar Inc","1828288.8","Information Technology","NYSE","10.929"
"NTNX","Nutanix Inc","2332956.06","Information Technology","NASDAQ","-4.9481"
"NUAN","Nuance Communications Inc","5277290.3","Information Technology","NASDAQ","-214.5598"
"NXES","Nexus Enterprise Solutions Inc","962.1","Information Technology","NYSE","-2.1423"
"OCC","Optical Cable Corp","20987.4","Information Technology","NASDAQ","-29.5828"
"OCLR","Oclaro Inc","1396024.2","Information Technology","NASDAQ","14.7519"
"OIIM","O2micro International Ltd","62166.8182","Information Technology","NASDAQ","-21.6509"
"OKTA","Okta Inc","2282588.85","Information Technology","NASDAQ","-28.3115"
"ONSM","Onstream Media Corp","7627.84","Information Technology","NASDAQ","-2.6195"
"ONVI","Onvia Inc","31376.55","Information Technology","NASDAQ","-40.3403"
"P","Pandora Media, Inc.","2566852.56","Information Technology","NYSE","-7.2979"
"PAY","Verifone Systems Inc","2084968.2","Information Technology","NYSE","-41.9961"
"PCMI","PCM Inc","253227.2","Information Technology","NASDAQ","14.8525"
"PCTI","PCTEL Inc","139183.99","Information Technology","NASDAQ","-7.0702"
"PCTY","Paylocity Corp.","2278144.73","Information Technology","NASDAQ","-582.2261"
"PFPT","Proofpoint Inc","3583810.37","Information Technology","NASDAQ","-30.3537"
"PFSW","PFSweb Inc","138544.64","Information Technology","NASDAQ","-18.0247"
"PI","Impinj Inc","847729.92","Information Technology","NASDAQ","-96.1026"
"PLPM","Planet Payment Inc","207975.9","Information Technology","NASDAQ","9.4014"
"PRCP","Perceptron Inc","80668.69","Information Technology","NASDAQ","-4.3403"
"PRGS","Progress Software Corp","1443391.62","Information Technology","NASDAQ","-24.7261"
"PRGX","PRGX Global Inc","139148.1","Information Technology","NASDAQ","-199.4519"
"PRKR","ParkerVision Inc","37519.76","Information Technology","NASDAQ","-1.258"
"PRO","PROS Holdings Inc","805024.74","Information Technology","NYSE","-10.0697"
"PSDO","Presidio Inc","1369926.06","Information Technology","NASDAQ","-266.7269"
"PSTG","Pure Storage","2347100.96","Information Technology","NYSE","-8.4301"
"QADB","QAD Inc","83781","Information Technology","NASDAQ","-31.4974"
"QBAK","Qualstar Corp","18214.64","Information Technology","NASDAQ","-11.965"
"QNST","Quinstreet Inc","186217.9","Information Technology","NASDAQ","-10.9314"
"QTM","Quantum Corp","302860.95","Information Technology","NYSE","-5.6003"
"QTWO","Q2 Holdings Inc","1572211.2","Information Technology","NYSE","-41.6076"
"QUIK","QuickLogic Corp","113925.73","Information Technology","NASDAQ","-5.753"
"QUMU","Qumu Corp","24138.4","Information Technology","NASDAQ","-2.2223"
"QUOT","Quotient Technology Inc","1029454.2","Information Technology","NYSE","-65.9806"
"RATE","Bankrate","998069.95","Information Technology","NASDAQ","-27.6943"
"RBCN","Rubicon Technology Inc","199173.39","Information Technology","NASDAQ","-0.3144"
"REDFY","Rediff.com India Ltd","2565.87","Information Technology","NASDAQ","-0.3852"
"REFR","Research Frontiers Inc","33906.8488","Information Technology","NASDAQ","-7.1477"
"RELL","Richardson Electronics Ltd","77094","Information Technology","NASDAQ","-11.0395"
"RESN","Resonant Inc","69333.9","Information Technology","NASDAQ","-3.0573"
"RFIL","RF Industries Ltd","13694.25","Information Technology","NASDAQ","-3.597"
"RMGN","RMG Networks Holding Corp","35699.2","Information Technology","NASDAQ","-6.8846"
"RNG","RNG","2463651.45","Information Technology","NYSE","-78.3818"
"RNWK","RealNetworks Inc","170655.4","Information Technology","NASDAQ","-4.5989"
"RPD","Rapid7 Inc","738665.04","Information Technology","NASDAQ","-14.2686"
"RST","Rosetta Stone Inc","252884.48","Information Technology","NYSE","-8.971"
"RSYS","Radisys Corp","162333.93","Information Technology","NASDAQ","-8.927"
"RUBI","Rubicon Project Inc","294313.17","Information Technology","NYSE","-14.7564"
"SALE","RetailMeNot Inc","558534.9","Information Technology","NASDAQ","-266.728"
"SANM","Sanmina","2747585.625","Information Technology","NASDAQ","14.0524"
"SCKT","Socket Mobile Inc","24555.2","Information Technology","NASDAQ","2.4935"
"SCON","Superconductor Technologies Inc","18941.78","Information Technology","NASDAQ","-0.4787"
"SCOR","Comscore Inc","1444525.94","Information Technology","NASDAQ","-143.9615"
"SCWX","SecureWorks","724288.34","Information Technology","NASDAQ","-17.5738"
"SEAC","SeaChange International Inc","90045.6","Information Technology","NASDAQ","-1.2369"
"SFUN","Soufun Holdings Ltd-ADR","1497522.33","Information Technology","NYSE","-9.5841"
"SHOR","Shoretel Inc","439857.75","Information Technology","NASDAQ","-36.3707"
"SIGM","Sigma Designs Inc","236548.6","Information Technology","NASDAQ","-12.6704"
"SIMO","Silicon Motion Technology Corporation","1778411.52","Information Technology","NASDAQ","14.4814"
"SMIT","Schmitt Industries Inc","4853.52","Information Technology","NASDAQ","-4.5012"
"SMSI","Smith Micro Software Inc","12479.48","Information Technology","NASDAQ","-0.9306"
"SMTX","SMTC Corp","20743.96","Information Technology","NASDAQ","-94.5946"
"SOL","ReneSola Ltd","49123.03","Information Technology","NYSE","-7.3462"
"SONS","Sonus Networks Inc","391231.7","Information Technology","NASDAQ","-18.9761"
