"INOD","Innodata Inc","--","-8.76","-14.4","15.16","-123.02","1.59"
"INPHQ","Interphase Corp","--","--","-82.8","--","-0.07","0.09"
"INSE","Inspired Entertainment Inc","--","--","-11.44","0","-11.26","1.47"
"INSG","Inseego Corp","--","-23.67","-144.56","293.56","-13.46","-45.87"
"INST","Instructure Inc","--","-48.31","-138.91","0","-18.79","68.49"
"INVE","Identiv Inc","--","-24.38","-93.98","551.2","-10.19","15.5"
"INVN","InvenSense Inc","--","-5.07","-18.27","40.53","275.55","3.39"
"INVT","Inventergy Global Inc","--","-435.62","--","-828.36","-0.3","-1.84"
"INVU","Investview Inc","--","-594.6","--","-45.46","-0.65","-0.26"
"IOTS","Adesto Technologies Corp","--","-26.41","-47.09","110.28","-10.96","5.07"
"IPAS","iPass Inc","--","-12.29","-34.51","0","-19.06","4.38"
"IPDN","Professional Diversity Network Inc","--","-15.67","-15.8","0","-7.9","1.04"
"JASO","JA Solar Holdings Co Ltd","0.61","4.34","11.23","95.02","1.53","0.36"
"JCS","Communications Systems Inc","--","-8.17","-11.14","--","-7.87","0.6"
"JIVE","Jive Software Inc","2.65","-6.84","-22.15","0.94","26.79","6.2"
"JKS","JinkoSolar Holding Co Ltd","0.23","8.59","41.13","174","1.56","0.59"
"JMU","JMU Ltd","--","-835.85","-82.82","0","20.1","0.71"
"JTPY","JetPay Corp","--","-25.91","-62.88","159.28","-10.58","2.81"
"KEM","KEMET Corp","0.38","-7.3","-16.02","344.8","10.88","5.76"
"KN","Knowles Corp","0.93","-4.92","-1.6","30.88","15.07","1.56"
"KONE","Kingtone Wirelessinfo Solution Holding Ltd","--","-13.42","-0.74","--","14.7","0.27"
"KOPN","Kopin Corp","--","-103.5","-25.56","0","-10.29","3.72"
"KTCC","Key Tronic Corp","--","1.35","6.07","41.98","6","0.79"
"KVHI","KVH Industries Inc","0.28","-4.27","-6.3","54.51","9.2","1.26"
"LDKYQ","LDK Solar Co Ltd","--","--","--","--","-0.01","0"
"LEJU","Leju","0.2","-1.75","-2.22","--","15.37","1.12"
"LFGR","Leaf Group Ltd","--","-1.77","-2.54","0","-10.32","2.07"
"LLNW","Limelight Networks Inc","0.79","-43.94","-38.57","0","19.71","2.44"
"LOCMQ","Local Corp","--","--","-37.64","--","-0.01","0"
"LPSN","LivePerson Inc","1.22","-11.61","-15.93","0","45.69","2.97"
