"VECO","Veeco Instruments","-0.29","0.76","1.22","-38.183","-19.4293"
"VIDE","Video Display Corp","--","--","--","--","-27.7516"
"VNET","21Vianet Group Inc","-2.4","--","--","-44.729","28.1542"
"VRNS","Varonis Systems Inc","-0.17","--","--","--","32.8248"
"VRNT","Verint Systems Inc","2.51","--","--","1.637","6.2968"
"WK","Workiva Inc","-0.73","--","--","--","64.4264"
"WPCS","WPCS International Inc","--","--","--","--","-31.5466"
"WSTL","Westell Technologies Inc","-0.14","--","--","-10.518","-14.2439"
"XCOMQ","Xtera Communications Inc","--","--","--","--","--"
"XGTI","xG Technology Inc","-32.51","--","--","--","112.9844"
"XNET","Xunlei Ltd","--","--","--","--","26.5177"
"XTLY","Xactly Corp","-0.28","--","--","--","--"
"YELP","Yelp","-0.06","0.99","1.28","--","53.6431"
"YEXT","Yext Inc","--","--","--","--","--"
"YGE","Yingli Green Energy Holding Co Ltd","-6.08","--","--","-30.139","-11.1731"
"YRD","Yirendai Ltd","2.74","--","--","--","--"
"YUME","YuMe Inc","--","--","--","--","18.5295"
"YY","YY","28.98","30.4691","36.6108","54.64","90.1686"
"ZBRA","Zebra Technologies Corp","5.6","--","--","25.515","29.3334"
"ZEN","Zendesk, Inc.","-0.22","--","--","--","82.061"
"ZG","Zillow","-0.5","0.4","0.96","38.196","66.5544"
"ZNGA","ZYNGA","0.03","0.09","0.1","-30.064","-8.2462"
